"IDE_CLIENTE","IDE_CLIENTE_NIF","DES_CLIENTE","FEC_NACIMIENTO","NUM_EDAD","NUM_TAMANO_FAMILIAR","FEC_CONTRATO","NUM_ANOS_EXPERIENCIA","NUM_INGRESOS_ANO","IDE_NIVEL_EDUCACION","DES_NIVEL_EDUCACION"
5361,"MIG104967","PRUEBAAPELLIDO MIG104967, PRUEBANOMBRE MIG104967","1973-10-23",41,1,"1997-10-23",17,34,1,"BASICO"
5360,"MIG104966","PRUEBAAPELLIDO MIG104966, PRUEBANOMBRE MIG104966","1985-10-23",29,1,"2009-10-23",5,33,2,"MEDIO"
5359,"MIG104965","PRUEBAAPELLIDO MIG104965, PRUEBANOMBRE MIG104965","1961-10-23",53,1,"1987-10-23",27,110,1,"BASICO"
5358,"MIG104964","PRUEBAAPELLIDO MIG104964, PRUEBANOMBRE MIG104964","1982-10-23",32,2,"2008-10-23",6,98,3,"ALTO"
5357,"MIG104963","PRUEBAAPELLIDO MIG104963, PRUEBANOMBRE MIG104963","1968-10-23",46,3,"1994-10-23",20,122,3,"ALTO"
5356,"MIG104962","PRUEBAAPELLIDO MIG104962, PRUEBANOMBRE MIG104962","1975-10-23",39,3,"2000-10-23",14,108,3,"ALTO"
5355,"MIG104961","PRUEBAAPELLIDO MIG104961, PRUEBANOMBRE MIG104961","1956-10-23",58,1,"1986-10-23",28,81,3,"ALTO"
5354,"MIG104960","PRUEBAAPELLIDO MIG104960, PRUEBANOMBRE MIG104960","1963-10-23",51,1,"1987-10-23",27,55,2,"MEDIO"
5353,"MIG104959","PRUEBAAPELLIDO MIG104959, PRUEBANOMBRE MIG104959","1964-10-23",50,1,"1988-10-23",26,19,3,"ALTO"
5352,"MIG104958","PRUEBAAPELLIDO MIG104958, PRUEBANOMBRE MIG104958","1985-10-23",29,2,"2014-10-23",0,50,3,"ALTO"
5351,"MIG104957","PRUEBAAPELLIDO MIG104957, PRUEBANOMBRE MIG104957","1975-10-23",39,4,"2001-10-23",13,59,3,"ALTO"
5350,"MIG104956","PRUEBAAPELLIDO MIG104956, PRUEBANOMBRE MIG104956","1951-10-23",63,2,"1977-10-23",37,39,3,"ALTO"
5349,"MIG104955","PRUEBAAPELLIDO MIG104955, PRUEBANOMBRE MIG104955","1969-10-23",45,3,"1995-10-23",19,22,1,"BASICO"
5348,"MIG104954","PRUEBAAPELLIDO MIG104954, PRUEBANOMBRE MIG104954","1967-10-23",47,3,"1993-10-23",21,32,1,"BASICO"
5347,"MIG104953","PRUEBAAPELLIDO MIG104953, PRUEBANOMBRE MIG104953","1985-10-23",29,4,"2011-10-23",3,53,3,"ALTO"
5346,"MIG104952","PRUEBAAPELLIDO MIG104952, PRUEBANOMBRE MIG104952","1961-10-23",53,1,"1987-10-23",27,65,3,"ALTO"
5345,"MIG104951","PRUEBAAPELLIDO MIG104951, PRUEBANOMBRE MIG104951","1967-10-23",47,1,"1991-10-23",23,19,1,"BASICO"
5344,"MIG104950","PRUEBAAPELLIDO MIG104950, PRUEBANOMBRE MIG104950","1985-10-23",29,4,"2009-10-23",5,64,1,"BASICO"
5343,"MIG104949","PRUEBAAPELLIDO MIG104949, PRUEBANOMBRE MIG104949","1970-10-23",44,1,"1994-10-23",20,43,1,"BASICO"
5342,"MIG104948","PRUEBAAPELLIDO MIG104948, PRUEBANOMBRE MIG104948","1975-10-23",39,2,"2001-10-23",13,41,1,"BASICO"
5341,"MIG104947","PRUEBAAPELLIDO MIG104947, PRUEBANOMBRE MIG104947","1963-10-23",51,1,"1988-10-23",26,42,2,"MEDIO"
5340,"MIG104946","PRUEBAAPELLIDO MIG104946, PRUEBANOMBRE MIG104946","1972-10-23",42,2,"1996-10-23",18,49,1,"BASICO"
5339,"MIG104945","PRUEBAAPELLIDO MIG104945, PRUEBANOMBRE MIG104945","1965-10-23",49,3,"1990-10-23",24,33,2,"MEDIO"
5338,"MIG104944","PRUEBAAPELLIDO MIG104944, PRUEBANOMBRE MIG104944","1988-10-23",26,1,"2014-10-23",0,12,2,"MEDIO"
5337,"MIG104943","PRUEBAAPELLIDO MIG104943, PRUEBANOMBRE MIG104943","1962-10-23",52,1,"1988-10-23",26,109,1,"BASICO"
5336,"MIG104942","PRUEBAAPELLIDO MIG104942, PRUEBANOMBRE MIG104942","1986-10-23",28,2,"2010-10-23",4,112,2,"MEDIO"
5335,"MIG104941","PRUEBAAPELLIDO MIG104941, PRUEBANOMBRE MIG104941","1968-10-23",46,3,"1992-10-23",22,19,1,"BASICO"
5334,"MIG104940","PRUEBAAPELLIDO MIG104940, PRUEBANOMBRE MIG104940","1960-10-23",54,3,"1985-10-23",29,70,2,"MEDIO"
5333,"MIG104939","PRUEBAAPELLIDO MIG104939, PRUEBANOMBRE MIG104939","1953-10-23",61,4,"1979-10-23",35,80,3,"ALTO"
5332,"MIG104938","PRUEBAAPELLIDO MIG104938, PRUEBANOMBRE MIG104938","1981-10-23",33,1,"2006-10-23",8,162,1,"BASICO"
5331,"MIG104937","PRUEBAAPELLIDO MIG104937, PRUEBANOMBRE MIG104937","1969-10-23",45,3,"1994-10-23",20,94,3,"ALTO"
5330,"MIG104936","PRUEBAAPELLIDO MIG104936, PRUEBANOMBRE MIG104936","1955-10-23",59,2,"1981-10-23",33,81,1,"BASICO"
5329,"MIG104935","PRUEBAAPELLIDO MIG104935, PRUEBANOMBRE MIG104935","1988-10-23",26,2,"2014-10-23",0,85,3,"ALTO"
5328,"MIG104934","PRUEBAAPELLIDO MIG104934, PRUEBANOMBRE MIG104934","1967-10-23",47,1,"1991-10-23",23,94,1,"BASICO"
5327,"MIG104933","PRUEBAAPELLIDO MIG104933, PRUEBANOMBRE MIG104933","1955-10-23",59,1,"1979-10-23",35,111,1,"BASICO"
5326,"MIG104932","PRUEBAAPELLIDO MIG104932, PRUEBANOMBRE MIG104932","1957-10-23",57,1,"1987-10-23",27,55,3,"ALTO"
5325,"MIG104931","PRUEBAAPELLIDO MIG104931, PRUEBANOMBRE MIG104931","1951-10-23",63,3,"1976-10-23",38,110,2,"MEDIO"
5324,"MIG104930","PRUEBAAPELLIDO MIG104930, PRUEBANOMBRE MIG104930","1952-10-23",62,2,"1978-10-23",36,39,1,"BASICO"
5323,"MIG104929","PRUEBAAPELLIDO MIG104929, PRUEBANOMBRE MIG104929","1957-10-23",57,1,"1981-10-23",33,28,3,"ALTO"
5322,"MIG104928","PRUEBAAPELLIDO MIG104928, PRUEBANOMBRE MIG104928","1971-10-23",43,1,"1995-10-23",19,121,2,"MEDIO"
5321,"MIG104927","PRUEBAAPELLIDO MIG104927, PRUEBANOMBRE MIG104927","1977-10-23",37,2,"2001-10-23",13,83,2,"MEDIO"
5320,"MIG104926","PRUEBAAPELLIDO MIG104926, PRUEBANOMBRE MIG104926","1950-10-23",64,4,"1975-10-23",39,82,2,"MEDIO"
5319,"MIG104925","PRUEBAAPELLIDO MIG104925, PRUEBANOMBRE MIG104925","1978-10-23",36,2,"2002-10-23",12,89,1,"BASICO"
5318,"MIG104924","PRUEBAAPELLIDO MIG104924, PRUEBANOMBRE MIG104924","1974-10-23",40,3,"1999-10-23",15,73,1,"BASICO"
5317,"MIG104923","PRUEBAAPELLIDO MIG104923, PRUEBANOMBRE MIG104923","1983-10-23",31,1,"2009-10-23",5,28,1,"BASICO"
5316,"MIG104922","PRUEBAAPELLIDO MIG104922, PRUEBANOMBRE MIG104922","1977-10-23",37,3,"2003-10-23",11,42,3,"ALTO"
5315,"MIG104921","PRUEBAAPELLIDO MIG104921, PRUEBANOMBRE MIG104921","1972-10-23",42,4,"1998-10-23",16,28,3,"ALTO"
5314,"MIG104920","PRUEBAAPELLIDO MIG104920, PRUEBANOMBRE MIG104920","1973-10-23",41,3,"1998-10-23",16,68,1,"BASICO"
5313,"MIG104919","PRUEBAAPELLIDO MIG104919, PRUEBANOMBRE MIG104919","1964-10-23",50,2,"1989-10-23",25,42,2,"MEDIO"
5312,"MIG104918","PRUEBAAPELLIDO MIG104918, PRUEBANOMBRE MIG104918","1978-10-23",36,4,"2004-10-23",10,33,2,"MEDIO"
5311,"MIG104917","PRUEBAAPELLIDO MIG104917, PRUEBANOMBRE MIG104917","1985-10-23",29,2,"2009-10-23",5,123,1,"BASICO"
5310,"MIG104916","PRUEBAAPELLIDO MIG104916, PRUEBANOMBRE MIG104916","1965-10-23",49,1,"1990-10-23",24,48,2,"MEDIO"
5309,"MIG104915","PRUEBAAPELLIDO MIG104915, PRUEBANOMBRE MIG104915","1949-10-23",65,1,"1975-10-23",39,94,1,"BASICO"
5308,"MIG104914","PRUEBAAPELLIDO MIG104914, PRUEBANOMBRE MIG104914","1984-10-23",30,1,"2010-10-23",4,110,3,"ALTO"
5307,"MIG104913","PRUEBAAPELLIDO MIG104913, PRUEBANOMBRE MIG104913","1963-10-23",51,1,"1988-10-23",26,28,2,"MEDIO"
5306,"MIG104912","PRUEBAAPELLIDO MIG104912, PRUEBANOMBRE MIG104912","1968-10-23",46,2,"1992-10-23",22,153,1,"BASICO"
5305,"MIG104911","PRUEBAAPELLIDO MIG104911, PRUEBANOMBRE MIG104911","1966-10-23",48,1,"1992-10-23",22,120,1,"BASICO"
5304,"MIG104910","PRUEBAAPELLIDO MIG104910, PRUEBANOMBRE MIG104910","1973-10-23",41,2,"1998-10-23",16,25,2,"MEDIO"
5303,"MIG104909","PRUEBAAPELLIDO MIG104909, PRUEBANOMBRE MIG104909","1974-10-23",40,2,"1998-10-23",16,138,1,"BASICO"
5302,"MIG104908","PRUEBAAPELLIDO MIG104908, PRUEBANOMBRE MIG104908","1980-10-23",34,3,"2005-10-23",9,101,2,"MEDIO"
5301,"MIG104907","PRUEBAAPELLIDO MIG104907, PRUEBANOMBRE MIG104907","1960-10-23",54,1,"1986-10-23",28,49,3,"ALTO"
5300,"MIG104906","PRUEBAAPELLIDO MIG104906, PRUEBANOMBRE MIG104906","1952-10-23",62,3,"1977-10-23",37,19,1,"BASICO"
5299,"MIG104905","PRUEBAAPELLIDO MIG104905, PRUEBANOMBRE MIG104905","1950-10-23",64,1,"1974-10-23",40,88,1,"BASICO"
5298,"MIG104904","PRUEBAAPELLIDO MIG104904, PRUEBANOMBRE MIG104904","1974-10-23",40,2,"1999-10-23",15,18,2,"MEDIO"
5297,"MIG104903","PRUEBAAPELLIDO MIG104903, PRUEBANOMBRE MIG104903","1981-10-23",33,2,"2006-10-23",8,58,1,"BASICO"
5296,"MIG104902","PRUEBAAPELLIDO MIG104902, PRUEBANOMBRE MIG104902","1988-10-23",26,3,"2014-10-23",0,54,2,"MEDIO"
5295,"MIG104901","PRUEBAAPELLIDO MIG104901, PRUEBANOMBRE MIG104901","1988-10-23",26,4,"2013-10-23",1,74,1,"BASICO"
5294,"MIG104900","PRUEBAAPELLIDO MIG104900, PRUEBANOMBRE MIG104900","1960-10-23",54,4,"1985-10-23",29,85,3,"ALTO"
5293,"MIG104899","PRUEBAAPELLIDO MIG104899, PRUEBANOMBRE MIG104899","1962-10-23",52,1,"1988-10-23",26,19,3,"ALTO"
5292,"MIG104898","PRUEBAAPELLIDO MIG104898, PRUEBANOMBRE MIG104898","1971-10-23",43,1,"1996-10-23",18,44,1,"BASICO"
5291,"MIG104897","PRUEBAAPELLIDO MIG104897, PRUEBANOMBRE MIG104897","1974-10-23",40,2,"1999-10-23",15,81,1,"BASICO"
5290,"MIG104896","PRUEBAAPELLIDO MIG104896, PRUEBANOMBRE MIG104896","1969-10-23",45,2,"1994-10-23",20,201,1,"BASICO"
5289,"MIG104895","PRUEBAAPELLIDO MIG104895, PRUEBANOMBRE MIG104895","1966-10-23",48,1,"1992-10-23",22,74,3,"ALTO"
5288,"MIG104894","PRUEBAAPELLIDO MIG104894, PRUEBANOMBRE MIG104894","1972-10-23",42,3,"2002-10-23",12,39,3,"ALTO"
5287,"MIG104893","PRUEBAAPELLIDO MIG104893, PRUEBANOMBRE MIG104893","1971-10-23",43,1,"1995-10-23",19,35,3,"ALTO"
5286,"MIG104892","PRUEBAAPELLIDO MIG104892, PRUEBANOMBRE MIG104892","1958-10-23",56,4,"1983-10-23",31,61,1,"BASICO"
5285,"MIG104891","PRUEBAAPELLIDO MIG104891, PRUEBANOMBRE MIG104891","1953-10-23",61,3,"1979-10-23",35,51,3,"ALTO"
5284,"MIG104890","PRUEBAAPELLIDO MIG104890, PRUEBANOMBRE MIG104890","1956-10-23",58,3,"1986-10-23",28,58,3,"ALTO"
5283,"MIG104889","PRUEBAAPELLIDO MIG104889, PRUEBANOMBRE MIG104889","1989-10-23",25,1,"2013-10-23",1,121,1,"BASICO"
5282,"MIG104888","PRUEBAAPELLIDO MIG104888, PRUEBANOMBRE MIG104888","1973-10-23",41,3,"1999-10-23",15,49,3,"ALTO"
5281,"MIG104887","PRUEBAAPELLIDO MIG104887, PRUEBANOMBRE MIG104887","1963-10-23",51,4,"1988-10-23",26,64,3,"ALTO"
5280,"MIG104886","PRUEBAAPELLIDO MIG104886, PRUEBANOMBRE MIG104886","1960-10-23",54,2,"1984-10-23",30,28,1,"BASICO"
5279,"MIG104885","PRUEBAAPELLIDO MIG104885, PRUEBANOMBRE MIG104885","1954-10-23",60,3,"1980-10-23",34,50,3,"ALTO"
5278,"MIG104884","PRUEBAAPELLIDO MIG104884, PRUEBANOMBRE MIG104884","1976-10-23",38,3,"2001-10-23",13,129,3,"ALTO"
5277,"MIG104883","PRUEBAAPELLIDO MIG104883, PRUEBANOMBRE MIG104883","1971-10-23",43,3,"1995-10-23",19,73,1,"BASICO"
5276,"MIG104882","PRUEBAAPELLIDO MIG104882, PRUEBANOMBRE MIG104882","1957-10-23",57,2,"1982-10-23",32,24,3,"ALTO"
5275,"MIG104881","PRUEBAAPELLIDO MIG104881, PRUEBANOMBRE MIG104881","1958-10-23",56,3,"1982-10-23",32,79,1,"BASICO"
5274,"MIG104880","PRUEBAAPELLIDO MIG104880, PRUEBANOMBRE MIG104880","1974-10-23",40,4,"1999-10-23",15,43,1,"BASICO"
5273,"MIG104879","PRUEBAAPELLIDO MIG104879, PRUEBANOMBRE MIG104879","1980-10-23",34,1,"2005-10-23",9,41,1,"BASICO"
5272,"MIG104878","PRUEBAAPELLIDO MIG104878, PRUEBANOMBRE MIG104878","1961-10-23",53,4,"1985-10-23",29,53,3,"ALTO"
5271,"MIG104877","PRUEBAAPELLIDO MIG104877, PRUEBANOMBRE MIG104877","1970-10-23",44,1,"1995-10-23",19,142,3,"ALTO"
5270,"MIG104876","PRUEBAAPELLIDO MIG104876, PRUEBANOMBRE MIG104876","1953-10-23",61,3,"1978-10-23",36,54,1,"BASICO"
5269,"MIG104875","PRUEBAAPELLIDO MIG104875, PRUEBANOMBRE MIG104875","1988-10-23",26,3,"2014-10-23",0,75,3,"ALTO"
5268,"MIG104874","PRUEBAAPELLIDO MIG104874, PRUEBANOMBRE MIG104874","1955-10-23",59,2,"1979-10-23",35,165,1,"BASICO"
5267,"MIG104873","PRUEBAAPELLIDO MIG104873, PRUEBANOMBRE MIG104873","1987-10-23",27,3,"2011-10-23",3,69,2,"MEDIO"
5266,"MIG104872","PRUEBAAPELLIDO MIG104872, PRUEBANOMBRE MIG104872","1968-10-23",46,4,"1992-10-23",22,53,1,"BASICO"
5265,"MIG104871","PRUEBAAPELLIDO MIG104871, PRUEBANOMBRE MIG104871","1959-10-23",55,2,"1984-10-23",30,28,2,"MEDIO"
5264,"MIG104870","PRUEBAAPELLIDO MIG104870, PRUEBANOMBRE MIG104870","1951-10-23",63,3,"1975-10-23",39,33,3,"ALTO"
5263,"MIG104869","PRUEBAAPELLIDO MIG104869, PRUEBANOMBRE MIG104869","1963-10-23",51,2,"1987-10-23",27,62,3,"ALTO"
5262,"MIG104868","PRUEBAAPELLIDO MIG104868, PRUEBANOMBRE MIG104868","1976-10-23",38,4,"2002-10-23",12,61,3,"ALTO"
5261,"MIG104867","PRUEBAAPELLIDO MIG104867, PRUEBANOMBRE MIG104867","1973-10-23",41,2,"1997-10-23",17,71,1,"BASICO"
5260,"MIG104866","PRUEBAAPELLIDO MIG104866, PRUEBANOMBRE MIG104866","1964-10-23",50,4,"1990-10-23",24,133,2,"MEDIO"
5259,"MIG104865","PRUEBAAPELLIDO MIG104865, PRUEBANOMBRE MIG104865","1973-10-23",41,2,"1998-10-23",16,52,3,"ALTO"
5258,"MIG104864","PRUEBAAPELLIDO MIG104864, PRUEBANOMBRE MIG104864","1953-10-23",61,1,"1979-10-23",35,25,2,"MEDIO"
5257,"MIG104863","PRUEBAAPELLIDO MIG104863, PRUEBANOMBRE MIG104863","1981-10-23",33,1,"2007-10-23",7,44,1,"BASICO"
5256,"MIG104862","PRUEBAAPELLIDO MIG104862, PRUEBANOMBRE MIG104862","1965-10-23",49,1,"1990-10-23",24,18,3,"ALTO"
5255,"MIG104861","PRUEBAAPELLIDO MIG104861, PRUEBANOMBRE MIG104861","1963-10-23",51,3,"1989-10-23",25,34,2,"MEDIO"
5254,"MIG104860","PRUEBAAPELLIDO MIG104860, PRUEBANOMBRE MIG104860","1980-10-23",34,1,"2006-10-23",8,165,3,"ALTO"
5253,"MIG104859","PRUEBAAPELLIDO MIG104859, PRUEBANOMBRE MIG104859","1964-10-23",50,2,"1990-10-23",24,62,3,"ALTO"
5252,"MIG104858","PRUEBAAPELLIDO MIG104858, PRUEBANOMBRE MIG104858","1977-10-23",37,1,"2001-10-23",13,115,2,"MEDIO"
5251,"MIG104857","PRUEBAAPELLIDO MIG104857, PRUEBANOMBRE MIG104857","1958-10-23",56,4,"1983-10-23",31,80,3,"ALTO"
5250,"MIG104856","PRUEBAAPELLIDO MIG104856, PRUEBANOMBRE MIG104856","1956-10-23",58,2,"1982-10-23",32,130,1,"BASICO"
5249,"MIG104855","PRUEBAAPELLIDO MIG104855, PRUEBANOMBRE MIG104855","1970-10-23",44,1,"1994-10-23",20,105,1,"BASICO"
5248,"MIG104854","PRUEBAAPELLIDO MIG104854, PRUEBANOMBRE MIG104854","1969-10-23",45,1,"1995-10-23",19,41,1,"BASICO"
5247,"MIG104853","PRUEBAAPELLIDO MIG104853, PRUEBANOMBRE MIG104853","1976-10-23",38,4,"2002-10-23",12,33,3,"ALTO"
5246,"MIG104852","PRUEBAAPELLIDO MIG104852, PRUEBANOMBRE MIG104852","1959-10-23",55,2,"1983-10-23",31,124,1,"BASICO"
5245,"MIG104851","PRUEBAAPELLIDO MIG104851, PRUEBANOMBRE MIG104851","1951-10-23",63,1,"1975-10-23",39,119,1,"BASICO"
5244,"MIG104850","PRUEBAAPELLIDO MIG104850, PRUEBANOMBRE MIG104850","1965-10-23",49,2,"1989-10-23",25,65,3,"ALTO"
5243,"MIG104849","PRUEBAAPELLIDO MIG104849, PRUEBANOMBRE MIG104849","1956-10-23",58,2,"1982-10-23",32,145,1,"BASICO"
5242,"MIG104848","PRUEBAAPELLIDO MIG104848, PRUEBANOMBRE MIG104848","1977-10-23",37,2,"2003-10-23",11,65,2,"MEDIO"
5241,"MIG104847","PRUEBAAPELLIDO MIG104847, PRUEBANOMBRE MIG104847","1979-10-23",35,3,"2004-10-23",10,135,2,"MEDIO"
5240,"MIG104846","PRUEBAAPELLIDO MIG104846, PRUEBANOMBRE MIG104846","1969-10-23",45,1,"1993-10-23",21,128,1,"BASICO"
5239,"MIG104845","PRUEBAAPELLIDO MIG104845, PRUEBANOMBRE MIG104845","1983-10-23",31,2,"2008-10-23",6,81,1,"BASICO"
5238,"MIG104844","PRUEBAAPELLIDO MIG104844, PRUEBANOMBRE MIG104844","1953-10-23",61,4,"1980-10-23",34,41,2,"MEDIO"
5237,"MIG104843","PRUEBAAPELLIDO MIG104843, PRUEBANOMBRE MIG104843","1965-10-23",49,3,"1991-10-23",23,174,2,"MEDIO"
5236,"MIG104842","PRUEBAAPELLIDO MIG104842, PRUEBANOMBRE MIG104842","1955-10-23",59,4,"1979-10-23",35,40,1,"BASICO"
5235,"MIG104841","PRUEBAAPELLIDO MIG104841, PRUEBANOMBRE MIG104841","1981-10-23",33,4,"2005-10-23",9,18,2,"MEDIO"
5234,"MIG104840","PRUEBAAPELLIDO MIG104840, PRUEBANOMBRE MIG104840","1980-10-23",34,4,"2006-10-23",8,52,1,"BASICO"
5233,"MIG104839","PRUEBAAPELLIDO MIG104839, PRUEBANOMBRE MIG104839","1958-10-23",56,4,"1984-10-23",30,44,1,"BASICO"
5232,"MIG104838","PRUEBAAPELLIDO MIG104838, PRUEBANOMBRE MIG104838","1978-10-23",36,2,"2004-10-23",10,183,1,"BASICO"
5231,"MIG104837","PRUEBAAPELLIDO MIG104837, PRUEBANOMBRE MIG104837","1960-10-23",54,3,"1990-10-23",24,72,3,"ALTO"
5230,"MIG104836","PRUEBAAPELLIDO MIG104836, PRUEBANOMBRE MIG104836","1949-10-23",65,2,"1975-10-23",39,25,1,"BASICO"
5229,"MIG104835","PRUEBAAPELLIDO MIG104835, PRUEBANOMBRE MIG104835","1965-10-23",49,1,"1991-10-23",23,70,1,"BASICO"
5228,"MIG104834","PRUEBAAPELLIDO MIG104834, PRUEBANOMBRE MIG104834","1965-10-23",49,1,"1990-10-23",24,109,1,"BASICO"
5227,"MIG104833","PRUEBAAPELLIDO MIG104833, PRUEBANOMBRE MIG104833","1985-10-23",29,4,"2010-10-23",4,83,2,"MEDIO"
5226,"MIG104832","PRUEBAAPELLIDO MIG104832, PRUEBANOMBRE MIG104832","1984-10-23",30,1,"2008-10-23",6,42,3,"ALTO"
5225,"MIG104831","PRUEBAAPELLIDO MIG104831, PRUEBANOMBRE MIG104831","1977-10-23",37,4,"2002-10-23",12,60,3,"ALTO"
5224,"MIG104830","PRUEBAAPELLIDO MIG104830, PRUEBANOMBRE MIG104830","1983-10-23",31,1,"2007-10-23",7,11,3,"ALTO"
5223,"MIG104829","PRUEBAAPELLIDO MIG104829, PRUEBANOMBRE MIG104829","1962-10-23",52,1,"1986-10-23",28,62,3,"ALTO"
5222,"MIG104828","PRUEBAAPELLIDO MIG104828, PRUEBANOMBRE MIG104828","1984-10-23",30,1,"2008-10-23",6,181,1,"BASICO"
