"IDE_CLIENTE";"IDE_CLIENTE_NIF";"DES_CLIENTE";"NUM_EDAD";"NUM_TAMANO_FAMILIAR";"NUM_ANOS_EXPERIENCIA";"NUM_INGRESOS_ANO";"IDE_NIVEL_EDUCACION"
5294;"MIG104900";"PRUEBAAPELLIDO MIG104900, PRUEBANOMBRE MIG104900";54;4;29;85000;3
5293;"MIG104899";"PRUEBAAPELLIDO MIG104899, PRUEBANOMBRE MIG104899";52;1;26;19000;3
5292;"MIG104898";"PRUEBAAPELLIDO MIG104898, PRUEBANOMBRE MIG104898";43;1;18;44000;1
5291;"MIG104897";"PRUEBAAPELLIDO MIG104897, PRUEBANOMBRE MIG104897";40;2;15;81000;1
5290;"MIG104896";"PRUEBAAPELLIDO MIG104896, PRUEBANOMBRE MIG104896";45;2;20;201000;1
5289;"MIG104895";"PRUEBAAPELLIDO MIG104895, PRUEBANOMBRE MIG104895";48;1;22;74000;3
5288;"MIG104894";"PRUEBAAPELLIDO MIG104894, PRUEBANOMBRE MIG104894";42;3;12;39000;3
5287;"MIG104893";"PRUEBAAPELLIDO MIG104893, PRUEBANOMBRE MIG104893";43;1;19;35000;3
5286;"MIG104892";"PRUEBAAPELLIDO MIG104892, PRUEBANOMBRE MIG104892";56;4;31;61000;1
5285;"MIG104891";"PRUEBAAPELLIDO MIG104891, PRUEBANOMBRE MIG104891";61;3;35;51000;3
5284;"MIG104890";"PRUEBAAPELLIDO MIG104890, PRUEBANOMBRE MIG104890";58;3;28;58000;3
5283;"MIG104889";"PRUEBAAPELLIDO MIG104889, PRUEBANOMBRE MIG104889";25;1;1;121000;1
5282;"MIG104888";"PRUEBAAPELLIDO MIG104888, PRUEBANOMBRE MIG104888";41;3;15;49000;3
5281;"MIG104887";"PRUEBAAPELLIDO MIG104887, PRUEBANOMBRE MIG104887";51;4;26;64000;3
5280;"MIG104886";"PRUEBAAPELLIDO MIG104886, PRUEBANOMBRE MIG104886";54;2;30;28000;1
5279;"MIG104885";"PRUEBAAPELLIDO MIG104885, PRUEBANOMBRE MIG104885";60;3;34;50000;3
5278;"MIG104884";"PRUEBAAPELLIDO MIG104884, PRUEBANOMBRE MIG104884";38;3;13;129000;3
5277;"MIG104883";"PRUEBAAPELLIDO MIG104883, PRUEBANOMBRE MIG104883";43;3;19;73000;1
5276;"MIG104882";"PRUEBAAPELLIDO MIG104882, PRUEBANOMBRE MIG104882";57;2;32;24000;3
5275;"MIG104881";"PRUEBAAPELLIDO MIG104881, PRUEBANOMBRE MIG104881";56;3;32;79000;1
5274;"MIG104880";"PRUEBAAPELLIDO MIG104880, PRUEBANOMBRE MIG104880";40;4;15;43000;1
5273;"MIG104879";"PRUEBAAPELLIDO MIG104879, PRUEBANOMBRE MIG104879";34;1;9;41000;1
5272;"MIG104878";"PRUEBAAPELLIDO MIG104878, PRUEBANOMBRE MIG104878";53;4;29;53000;3
5271;"MIG104877";"PRUEBAAPELLIDO MIG104877, PRUEBANOMBRE MIG104877";44;1;19;142000;3
5270;"MIG104876";"PRUEBAAPELLIDO MIG104876, PRUEBANOMBRE MIG104876";61;3;36;54000;1
5269;"MIG104875";"PRUEBAAPELLIDO MIG104875, PRUEBANOMBRE MIG104875";26;3;0;75000;3
5268;"MIG104874";"PRUEBAAPELLIDO MIG104874, PRUEBANOMBRE MIG104874";59;2;35;165000;1
5267;"MIG104873";"PRUEBAAPELLIDO MIG104873, PRUEBANOMBRE MIG104873";27;3;3;69000;2
5266;"MIG104872";"PRUEBAAPELLIDO MIG104872, PRUEBANOMBRE MIG104872";46;4;22;53000;1
5265;"MIG104871";"PRUEBAAPELLIDO MIG104871, PRUEBANOMBRE MIG104871";55;2;30;28000;2
5264;"MIG104870";"PRUEBAAPELLIDO MIG104870, PRUEBANOMBRE MIG104870";63;3;39;33000;3
5263;"MIG104869";"PRUEBAAPELLIDO MIG104869, PRUEBANOMBRE MIG104869";51;2;27;62000;3
5262;"MIG104868";"PRUEBAAPELLIDO MIG104868, PRUEBANOMBRE MIG104868";38;4;12;61000;3
5261;"MIG104867";"PRUEBAAPELLIDO MIG104867, PRUEBANOMBRE MIG104867";41;2;17;71000;1
5260;"MIG104866";"PRUEBAAPELLIDO MIG104866, PRUEBANOMBRE MIG104866";50;4;24;133000;2
5259;"MIG104865";"PRUEBAAPELLIDO MIG104865, PRUEBANOMBRE MIG104865";41;2;16;52000;3
5258;"MIG104864";"PRUEBAAPELLIDO MIG104864, PRUEBANOMBRE MIG104864";61;1;35;25000;2
5257;"MIG104863";"PRUEBAAPELLIDO MIG104863, PRUEBANOMBRE MIG104863";33;1;7;44000;1
5256;"MIG104862";"PRUEBAAPELLIDO MIG104862, PRUEBANOMBRE MIG104862";49;1;24;18000;3
5255;"MIG104861";"PRUEBAAPELLIDO MIG104861, PRUEBANOMBRE MIG104861";51;3;25;34000;2
5254;"MIG104860";"PRUEBAAPELLIDO MIG104860, PRUEBANOMBRE MIG104860";34;1;8;165000;3
5253;"MIG104859";"PRUEBAAPELLIDO MIG104859, PRUEBANOMBRE MIG104859";50;2;24;62000;3
5252;"MIG104858";"PRUEBAAPELLIDO MIG104858, PRUEBANOMBRE MIG104858";37;1;13;115000;2
5251;"MIG104857";"PRUEBAAPELLIDO MIG104857, PRUEBANOMBRE MIG104857";56;4;31;80000;3
5250;"MIG104856";"PRUEBAAPELLIDO MIG104856, PRUEBANOMBRE MIG104856";58;2;32;130000;1
5249;"MIG104855";"PRUEBAAPELLIDO MIG104855, PRUEBANOMBRE MIG104855";44;1;20;105000;1
5248;"MIG104854";"PRUEBAAPELLIDO MIG104854, PRUEBANOMBRE MIG104854";45;1;19;41000;1
5247;"MIG104853";"PRUEBAAPELLIDO MIG104853, PRUEBANOMBRE MIG104853";38;4;12;33000;3
5246;"MIG104852";"PRUEBAAPELLIDO MIG104852, PRUEBANOMBRE MIG104852";55;2;31;124000;1
5245;"MIG104851";"PRUEBAAPELLIDO MIG104851, PRUEBANOMBRE MIG104851";63;1;39;119000;1
5244;"MIG104850";"PRUEBAAPELLIDO MIG104850, PRUEBANOMBRE MIG104850";49;2;25;65000;3
5243;"MIG104849";"PRUEBAAPELLIDO MIG104849, PRUEBANOMBRE MIG104849";58;2;32;145000;1
5242;"MIG104848";"PRUEBAAPELLIDO MIG104848, PRUEBANOMBRE MIG104848";37;2;11;65000;2
5241;"MIG104847";"PRUEBAAPELLIDO MIG104847, PRUEBANOMBRE MIG104847";35;3;10;135000;2
5240;"MIG104846";"PRUEBAAPELLIDO MIG104846, PRUEBANOMBRE MIG104846";45;1;21;128000;1
5239;"MIG104845";"PRUEBAAPELLIDO MIG104845, PRUEBANOMBRE MIG104845";31;2;6;81000;1
5238;"MIG104844";"PRUEBAAPELLIDO MIG104844, PRUEBANOMBRE MIG104844";61;4;34;41000;2
5237;"MIG104843";"PRUEBAAPELLIDO MIG104843, PRUEBANOMBRE MIG104843";49;3;23;174000;2
5236;"MIG104842";"PRUEBAAPELLIDO MIG104842, PRUEBANOMBRE MIG104842";59;4;35;40000;1
5235;"MIG104841";"PRUEBAAPELLIDO MIG104841, PRUEBANOMBRE MIG104841";33;4;9;18000;2
5234;"MIG104840";"PRUEBAAPELLIDO MIG104840, PRUEBANOMBRE MIG104840";34;4;8;52000;1
5233;"MIG104839";"PRUEBAAPELLIDO MIG104839, PRUEBANOMBRE MIG104839";56;4;30;44000;1
5232;"MIG104838";"PRUEBAAPELLIDO MIG104838, PRUEBANOMBRE MIG104838";36;2;10;183000;1
5231;"MIG104837";"PRUEBAAPELLIDO MIG104837, PRUEBANOMBRE MIG104837";54;3;24;72000;3
5230;"MIG104836";"PRUEBAAPELLIDO MIG104836, PRUEBANOMBRE MIG104836";65;2;39;25000;1
5229;"MIG104835";"PRUEBAAPELLIDO MIG104835, PRUEBANOMBRE MIG104835";49;1;23;70000;1
5228;"MIG104834";"PRUEBAAPELLIDO MIG104834, PRUEBANOMBRE MIG104834";49;1;24;109000;1
5227;"MIG104833";"PRUEBAAPELLIDO MIG104833, PRUEBANOMBRE MIG104833";29;4;4;83000;2
5226;"MIG104832";"PRUEBAAPELLIDO MIG104832, PRUEBANOMBRE MIG104832";30;1;6;42000;3
5225;"MIG104831";"PRUEBAAPELLIDO MIG104831, PRUEBANOMBRE MIG104831";37;4;12;60000;3
5224;"MIG104830";"PRUEBAAPELLIDO MIG104830, PRUEBANOMBRE MIG104830";31;1;7;11000;3
5223;"MIG104829";"PRUEBAAPELLIDO MIG104829, PRUEBANOMBRE MIG104829";52;1;28;62000;3
5222;"MIG104828";"PRUEBAAPELLIDO MIG104828, PRUEBANOMBRE MIG104828";30;1;6;181000;1
5221;"MIG104827";"PRUEBAAPELLIDO MIG104827, PRUEBANOMBRE MIG104827";56;2;31;81000;3
5220;"MIG104826";"PRUEBAAPELLIDO MIG104826, PRUEBANOMBRE MIG104826";56;2;32;84000;1
5219;"MIG104825";"PRUEBAAPELLIDO MIG104825, PRUEBANOMBRE MIG104825";32;3;6;25000;1
5218;"MIG104824";"PRUEBAAPELLIDO MIG104824, PRUEBANOMBRE MIG104824";46;2;21;115000;3
5217;"MIG104823";"PRUEBAAPELLIDO MIG104823, PRUEBANOMBRE MIG104823";60;1;36;149000;1
5216;"MIG104822";"PRUEBAAPELLIDO MIG104822, PRUEBANOMBRE MIG104822";30;1;6;62000;1
5215;"MIG104821";"PRUEBAAPELLIDO MIG104821, PRUEBANOMBRE MIG104821";42;1;17;44000;3
5214;"MIG104820";"PRUEBAAPELLIDO MIG104820, PRUEBANOMBRE MIG104820";32;3;6;41000;1
5213;"MIG104819";"PRUEBAAPELLIDO MIG104819, PRUEBANOMBRE MIG104819";45;2;19;85000;2
5212;"MIG104818";"PRUEBAAPELLIDO MIG104818, PRUEBANOMBRE MIG104818";46;2;22;134000;1
5211;"MIG104817";"PRUEBAAPELLIDO MIG104817, PRUEBANOMBRE MIG104817";50;3;24;83000;2
5210;"MIG104816";"PRUEBAAPELLIDO MIG104816, PRUEBANOMBRE MIG104816";58;2;32;99000;1
5209;"MIG104815";"PRUEBAAPELLIDO MIG104815, PRUEBANOMBRE MIG104815";60;3;34;41000;3
5208;"MIG104814";"PRUEBAAPELLIDO MIG104814, PRUEBANOMBRE MIG104814";49;3;23;60000;2
5207;"MIG104813";"PRUEBAAPELLIDO MIG104813, PRUEBANOMBRE MIG104813";29;4;4;184000;3
5206;"MIG104812";"PRUEBAAPELLIDO MIG104812, PRUEBANOMBRE MIG104812";36;2;12;123000;3
5205;"MIG104811";"PRUEBAAPELLIDO MIG104811, PRUEBANOMBRE MIG104811";58;2;34;11000;1
5204;"MIG104810";"PRUEBAAPELLIDO MIG104810, PRUEBANOMBRE MIG104810";43;3;19;32000;2
5203;"MIG104809";"PRUEBAAPELLIDO MIG104809, PRUEBANOMBRE MIG104809";42;3;16;32000;2
5202;"MIG104808";"PRUEBAAPELLIDO MIG104808, PRUEBANOMBRE MIG104808";40;1;14;53000;1
5201;"MIG104807";"PRUEBAAPELLIDO MIG104807, PRUEBANOMBRE MIG104807";62;3;37;39000;1
5200;"MIG104806";"PRUEBAAPELLIDO MIG104806, PRUEBANOMBRE MIG104806";30;1;6;160000;1
5199;"MIG104805";"PRUEBAAPELLIDO MIG104805, PRUEBANOMBRE MIG104805";58;1;32;40000;2
5198;"MIG104804";"PRUEBAAPELLIDO MIG104804, PRUEBANOMBRE MIG104804";48;2;24;48000;3
5197;"MIG104803";"PRUEBAAPELLIDO MIG104803, PRUEBANOMBRE MIG104803";35;3;11;58000;1
5196;"MIG104802";"PRUEBAAPELLIDO MIG104802, PRUEBANOMBRE MIG104802";34;2;10;88000;1
5195;"MIG104801";"PRUEBAAPELLIDO MIG104801, PRUEBANOMBRE MIG104801";33;1;7;73000;1
5194;"MIG104800";"PRUEBAAPELLIDO MIG104800, PRUEBANOMBRE MIG104800";44;4;20;33000;1
5193;"MIG104799";"PRUEBAAPELLIDO MIG104799, PRUEBANOMBRE MIG104799";44;3;20;62000;3
5192;"MIG104798";"PRUEBAAPELLIDO MIG104798, PRUEBANOMBRE MIG104798";37;4;11;24000;1
5191;"MIG104797";"PRUEBAAPELLIDO MIG104797, PRUEBANOMBRE MIG104797";26;4;0;42000;3
5190;"MIG104796";"PRUEBAAPELLIDO MIG104796, PRUEBANOMBRE MIG104796";46;2;21;39000;1
5189;"MIG104795";"PRUEBAAPELLIDO MIG104795, PRUEBANOMBRE MIG104795";56;4;30;29000;3
5188;"MIG104794";"PRUEBAAPELLIDO MIG104794, PRUEBANOMBRE MIG104794";45;2;21;59000;1
5187;"MIG104793";"PRUEBAAPELLIDO MIG104793, PRUEBANOMBRE MIG104793";36;4;10;28000;1
5186;"MIG104792";"PRUEBAAPELLIDO MIG104792, PRUEBANOMBRE MIG104792";59;4;35;43000;1
5185;"MIG104791";"PRUEBAAPELLIDO MIG104791, PRUEBANOMBRE MIG104791";35;3;11;101000;3
5184;"MIG104790";"PRUEBAAPELLIDO MIG104790, PRUEBANOMBRE MIG104790";58;4;34;84000;2
5183;"MIG104789";"PRUEBAAPELLIDO MIG104789, PRUEBANOMBRE MIG104789";36;1;10;39000;1
5182;"MIG104788";"PRUEBAAPELLIDO MIG104788, PRUEBANOMBRE MIG104788";48;3;22;42000;2
5181;"MIG104787";"PRUEBAAPELLIDO MIG104787, PRUEBANOMBRE MIG104787";36;4;12;18000;1
5180;"MIG104786";"PRUEBAAPELLIDO MIG104786, PRUEBANOMBRE MIG104786";30;2;5;23000;3
5179;"MIG104785";"PRUEBAAPELLIDO MIG104785, PRUEBANOMBRE MIG104785";52;2;28;9000;1
5178;"MIG104784";"PRUEBAAPELLIDO MIG104784, PRUEBANOMBRE MIG104784";43;4;19;32000;1
5177;"MIG104783";"PRUEBAAPELLIDO MIG104783, PRUEBANOMBRE MIG104783";26;2;0;150000;1
5176;"MIG104782";"PRUEBAAPELLIDO MIG104782, PRUEBANOMBRE MIG104782";35;3;9;25000;2
5175;"MIG104781";"PRUEBAAPELLIDO MIG104781, PRUEBANOMBRE MIG104781";47;3;20;49000;2
5174;"MIG104780";"PRUEBAAPELLIDO MIG104780, PRUEBANOMBRE MIG104780";39;1;14;20000;3
5173;"MIG104779";"PRUEBAAPELLIDO MIG104779, PRUEBANOMBRE MIG104779";52;4;27;22000;1
5172;"MIG104778";"PRUEBAAPELLIDO MIG104778, PRUEBANOMBRE MIG104778";32;4;8;30000;2
5171;"MIG104777";"PRUEBAAPELLIDO MIG104777, PRUEBANOMBRE MIG104777";47;2;23;40000;3
5170;"MIG104776";"PRUEBAAPELLIDO MIG104776, PRUEBANOMBRE MIG104776";44;1;14;33000;3
5169;"MIG104775";"PRUEBAAPELLIDO MIG104775, PRUEBANOMBRE MIG104775";56;1;32;22000;3
5168;"MIG104774";"PRUEBAAPELLIDO MIG104774, PRUEBANOMBRE MIG104774";53;2;28;48000;2
5167;"MIG104773";"PRUEBAAPELLIDO MIG104773, PRUEBANOMBRE MIG104773";26;3;2;95000;1
5166;"MIG104772";"PRUEBAAPELLIDO MIG104772, PRUEBANOMBRE MIG104772";36;3;11;85000;3
5165;"MIG104771";"PRUEBAAPELLIDO MIG104771, PRUEBANOMBRE MIG104771";35;4;5;93000;3
5164;"MIG104770";"PRUEBAAPELLIDO MIG104770, PRUEBANOMBRE MIG104770";26;4;2;20000;1
5163;"MIG104769";"PRUEBAAPELLIDO MIG104769, PRUEBANOMBRE MIG104769";38;1;14;39000;2
5162;"MIG104768";"PRUEBAAPELLIDO MIG104768, PRUEBANOMBRE MIG104768";35;3;9;45000;1
5161;"MIG104767";"PRUEBAAPELLIDO MIG104767, PRUEBANOMBRE MIG104767";41;3;15;54000;1
5160;"MIG104766";"PRUEBAAPELLIDO MIG104766, PRUEBANOMBRE MIG104766";58;1;34;82000;1
5159;"MIG104765";"PRUEBAAPELLIDO MIG104765, PRUEBANOMBRE MIG104765";56;4;32;88000;2
